"","x"
"1",2155.554191
"2",3591.605556
"3",3761.155587
"4",3629.40485
"5",2805.131464
"6",2707.457004
"7",2859.437075
"8",3107.487152
"9",2994.884392
"10",2740.141866
"11",2587.21665
"12",2346.634207
"13",1914.084588
"14",986.94915
"15",634.028786
"16",510.423915
"17",630.214837
