agegroup,popage2020,propage
1,2194,0.048756639
2,2660,0.059112425
3,2898,0.064401431
4,2679,0.059534656
5,2551,0.056690149
6,2519,0.055979022
7,2688,0.059734661
8,2887,0.064156981
9,2937,0.065268117
10,3210,0.071334919
11,3253,0.072290495
12,2874,0.063868086
13,2967,0.065934799
14,2681,0.059579102
15,2410,0.053556746
16,1587,0.03526745
17,2004,0.044534323
