agegroup,popage2020,propage
1,2865,0.050894427
2,3271,0.058106692
3,3431,0.060948963
4,3268,0.058053399
5,3364,0.059758762
6,3718,0.066047288
7,3651,0.064857087
8,3696,0.065656476
9,3761,0.066811149
10,3924,0.069706713
11,4009,0.07121667
12,3765,0.066882206
13,3395,0.060309452
14,2968,0.05272414
15,2788,0.049526584
16,1835,0.032597303
17,2584,0.045902688
