agegroup,popage2020,propage
1,2295,0.046577233
2,2726,0.055324417
3,2984,0.06056055
4,2990,0.060682321
5,2710,0.054999696
6,2661,0.054005236
7,2875,0.058348386
8,2939,0.059647271
9,3231,0.065573438
10,3730,0.075700688
11,3853,0.078196984
12,3368,0.068353865
13,3024,0.061372354
14,2798,0.056785664
15,2833,0.057495992
16,1900,0.038560672
17,2356,0.047815233
