agegroup,popage2020,propage
1,5402,0.067918076
2,5781,0.072683154
3,5424,0.068194677
4,5082,0.063894791
5,4801,0.060361844
6,5286,0.066459635
7,6203,0.077988861
8,6369,0.080075939
9,5738,0.072142525
10,5481,0.068911324
11,5162,0.064900612
12,4563,0.057369526
13,3953,0.04970014
14,3368,0.042345072
15,2721,0.034210493
16,1880,0.023636798
17,2323,0.029206533
