agegroup,popage2020,propage
1,11270,0.054931932
2,11578,0.056433178
3,11461,0.055862899
4,11232,0.054746714
5,17653,0.08604378
6,19563,0.095353451
7,16746,0.081622905
8,14482,0.070587777
9,13118,0.063939404
10,13435,0.065484517
11,13044,0.063578715
12,11174,0.054464012
13,10331,0.050355084
14,9138,0.044540195
15,8286,0.040387399
16,5734,0.027948509
17,6918,0.03371953
