agegroup,popage2020,propage
1,41776,0.060239887
2,37519,0.054101405
3,34906,0.050333528
4,31720,0.045739401
5,46799,0.06748292
6,74716,0.107738495
7,74166,0.10694541
8,59010,0.085090859
9,50060,0.072185196
10,46416,0.066930644
11,41482,0.059815946
12,36362,0.052433042
13,31182,0.044963619
14,26048,0.037560527
15,24060,0.034693883
16,15935,0.022977848
17,21337,0.030767389
