agegroup,popage2020,propage
1,3601,0.054348154
2,3953,0.05966072
3,4057,0.061230342
4,4063,0.061320897
5,4511,0.068082345
6,4415,0.066633463
7,4563,0.068867156
8,4473,0.067508829
9,4343,0.065546802
10,4492,0.067795587
11,4369,0.065939207
12,3973,0.059962571
13,3857,0.058211839
14,3497,0.052778532
15,3066,0.046273658
16,2079,0.031377343
17,2946,0.044462555
