agegroup,popage2020,propage
1,1920,0.05139599
2,2141,0.057311883
3,2244,0.060069063
4,2343,0.062719169
5,2356,0.063067163
6,2483,0.066466793
7,2488,0.066600637
8,2530,0.067724924
9,2716,0.072703911
10,2807,0.075139867
11,2658,0.071151324
12,2207,0.05907862
13,2122,0.056803276
14,1930,0.051663677
15,1703,0.045587172
16,1178,0.031533581
17,1531,0.040982948
