agegroup,popage2020,propage
1,3270,0.051282856
2,3689,0.057853961
3,3885,0.060927796
4,3978,0.062386299
5,3782,0.059312465
6,3630,0.056928674
7,3925,0.061555109
8,3995,0.062652908
9,4143,0.064973967
10,4544,0.071262782
11,4750,0.074493445
12,4160,0.065240575
13,3834,0.060127972
14,3582,0.056175899
15,3371,0.052866821
16,2233,0.03501976
17,2993,0.046938711
