"","x"
"1",0.055660308
"2",0.057657452
"3",0.059253212
"4",0.059360014
"5",0.06516385
"6",0.06882445
"7",0.069510824
"8",0.066753891
"9",0.064084577
"10",0.069635703
"11",0.069612461
"12",0.061816462
"13",0.057400684
"14",0.050721403
"15",0.049210126
"16",0.033141483
"17",0.042193098
