agegroup,popage2020,propage
1,6341,0.0568022
2,6950,0.062257576
3,7098,0.063583349
4,6949,0.062248618
5,9049,0.08106026
6,8064,0.072236704
7,7423,0.066494675
8,7453,0.066763412
9,7078,0.063404191
10,7583,0.067927942
11,7376,0.066073652
12,6788,0.060806392
13,5898,0.052833839
14,5255,0.047073894
15,4619,0.041376654
16,3329,0.029820931
17,4380,0.03923571
