agegroup,popage2020,propage
1,4050,0.049159434
2,4493,0.054536627
3,5023,0.060969837
4,5099,0.061892335
5,5065,0.061479638
6,5012,0.060836317
7,5041,0.061188323
8,4781,0.058032409
9,5135,0.062329308
10,6038,0.073290041
11,6251,0.075875463
12,5559,0.067475875
13,5131,0.062280755
14,4611,0.055968926
15,4400,0.053407781
16,2889,0.035067063
17,3807,0.046209868
