agegroup,popage2020,propage
1,1302,0.045934027
2,1518,0.053554419
3,1600,0.056447345
4,1726,0.060892574
5,2203,0.077720938
6,1941,0.068477686
7,1692,0.059693068
8,1564,0.05517728
9,1653,0.058317164
10,1859,0.065584759
11,1936,0.068301288
12,1810,0.063856059
13,1764,0.062233198
14,1579,0.055706474
15,1564,0.05517728
16,1116,0.039372023
17,1518,0.053554419
