agegroup,popage2020,propage
1,2942,0.051857858
2,3273,0.057692308
3,3568,0.062892195
4,3518,0.062010858
5,3280,0.057815695
6,3549,0.062557287
7,3512,0.061905098
8,3567,0.062874568
9,3644,0.064231827
10,4123,0.072675033
11,4033,0.071088627
12,3622,0.063844039
13,3371,0.059419728
14,2973,0.052404287
15,3101,0.054660509
16,2041,0.035976169
17,2615,0.046093915
