date,x
01/03/2020,1
02/03/2020,1
03/03/2020,1
04/03/2020,1
05/03/2020,1
06/03/2020,1
07/03/2020,1
08/03/2020,1
09/03/2020,1
10/03/2020,1
11/03/2020,1
12/03/2020,0.85
13/03/2020,0.6
14/03/2020,0.63
15/03/2020,0.41
16/03/2020,0.56
17/03/2020,0.51
18/03/2020,0.49
19/03/2020,0.49
20/03/2020,0.46
21/03/2020,0.57
22/03/2020,0.44
23/03/2020,0.49
24/03/2020,0.47
25/03/2020,0.49
26/03/2020,0.49
27/03/2020,0.46
28/03/2020,0.53
29/03/2020,0.46
30/03/2020,0.51
31/03/2020,0.54
01/04/2020,0.53
02/04/2020,0.47
03/04/2020,0.49
04/04/2020,0.63
05/04/2020,0.47
06/04/2020,0.58
07/04/2020,0.55
08/04/2020,0.51
09/04/2020,0.42
10/04/2020,0.43
11/04/2020,0.5
12/04/2020,0.53
13/04/2020,0.4
14/04/2020,0.54
15/04/2020,0.6
16/04/2020,0.58
17/04/2020,0.55
18/04/2020,0.68
19/04/2020,0.69
20/04/2020,0.7
21/04/2020,0.71
22/04/2020,0.68
23/04/2020,0.69
24/04/2020,0.6
25/04/2020,0.75
26/04/2020,0.65
27/04/2020,0.64
28/04/2020,0.71
29/04/2020,0.72
30/04/2020,0.76
01/05/2020,0.43
02/05/2020,0.85
03/05/2020,0.72
04/05/2020,0.77
05/05/2020,0.78
06/05/2020,0.79
07/05/2020,0.75
08/05/2020,0.73
09/05/2020,0.88
10/05/2020,0.57
11/05/2020,0.79
12/05/2020,0.79
13/05/2020,0.81
14/05/2020,0.82
15/05/2020,0.43
16/05/2020,0.47
17/05/2020,0.5
18/05/2020,0.46
19/05/2020,0.45
20/05/2020,0.54
21/05/2020,0.38
22/05/2020,0.44
23/05/2020,0.45
24/05/2020,0.47
25/05/2020,0.48
26/05/2020,0.45
27/05/2020,0.46
28/05/2020,0.48
29/05/2020,0.54
30/05/2020,0.62
31/05/2020,0.53
01/06/2020,0.46
02/06/2020,0.51
03/06/2020,0.48
04/06/2020,0.45
05/06/2020,0.44
06/06/2020,0.41
07/06/2020,0.42
08/06/2020,0.47
09/06/2020,0.45
10/06/2020,0.45
11/06/2020,0.48
12/06/2020,0.54
13/06/2020,0.63
14/06/2020,0.6
15/06/2020,0.51
16/06/2020,0.5
17/06/2020,0.49
18/06/2020,0.5
19/06/2020,0.57
20/06/2020,0.63
21/06/2020,0.58
22/06/2020,0.49
23/06/2020,0.51
24/06/2020,0.52
25/06/2020,0.55
26/06/2020,0.59
27/06/2020,0.72
28/06/2020,0.62
29/06/2020,0.56
30/06/2020,0.58
01/07/2020,0.59
02/07/2020,0.6
03/07/2020,0.59
04/07/2020,0.86
05/07/2020,0.69
06/07/2020,0.64
07/07/2020,0.58
08/07/2020,0.64
09/07/2020,0.66
10/07/2020,0.69
11/07/2020,0.92
12/07/2020,0.93
13/07/2020,0.76
14/07/2020,0.63
15/07/2020,0.66
16/07/2020,0.71
17/07/2020,0.71
18/07/2020,0.99
19/07/2020,0.96
20/07/2020,0.78
21/07/2020,0.73
22/07/2020,0.73
23/07/2020,0.73
24/07/2020,0.72
25/07/2020,1.01
26/07/2020,0.8
27/07/2020,0.72
28/07/2020,0.57
29/07/2020,0.64
30/07/2020,0.71
31/07/2020,0.71
01/08/2020,0.94
02/08/2020,0.84
03/08/2020,0.61
04/08/2020,0.63
05/08/2020,0.56
06/08/2020,0.63
07/08/2020,0.67
08/08/2020,0.91
09/08/2020,0.82
10/08/2020,0.65
11/08/2020,0.59
12/08/2020,0.58
13/08/2020,0.58
14/08/2020,0.64
15/08/2020,0.83
16/08/2020,0.74
17/08/2020,0.74
18/08/2020,0.74
19/08/2020,0.74
20/08/2020,0.74
21/08/2020,0.54
22/08/2020,0.54
23/08/2020,0.54
24/08/2020,0.54
25/08/2020,0.54
26/08/2020,0.54
27/08/2020,0.54
28/08/2020,0.59
29/08/2020,0.59
30/08/2020,0.59
31/08/2020,0.59
01/09/2020,0.59
02/09/2020,0.59
03/09/2020,0.59
04/09/2020,0.54
05/09/2020,0.54
06/09/2020,0.54
07/09/2020,0.54
08/09/2020,0.54
09/09/2020,0.54
10/09/2020,0.54
11/09/2020,0.54
12/09/2020,0.56
13/09/2020,0.6
14/09/2020,0.51
15/09/2020,0.48
16/09/2020,0.48
17/09/2020,0.5
18/09/2020,0.54
19/09/2020,0.6
20/09/2020,0.58
21/09/2020,0.49
22/09/2020,0.48
23/09/2020,0.43
24/09/2020,0.44
25/09/2020,0.51
26/09/2020,0.43
27/09/2020,0.52
28/09/2020,0.53
29/09/2020,0.48
30/09/2020,0.49
01/10/2020,0.51
02/10/2020,0.52
03/10/2020,0.53
04/10/2020,0.5
05/10/2020,0.46
06/10/2020,0.41
07/10/2020,0.43
08/10/2020,0.41
09/10/2020,0.44
10/10/2020,0.41
11/10/2020,0.49
12/10/2020,0.48
13/10/2020,0.44
14/10/2020,0.41
15/10/2020,0.45
16/10/2020,0.47
17/10/2020,0.43
18/10/2020,0.46
19/10/2020,0.47
20/10/2020,0.43
21/10/2020,0.42
22/10/2020,0.43
23/10/2020,0.45
24/10/2020,0.39
25/10/2020,0.41
26/10/2020,0.42
27/10/2020,0.43
28/10/2020,0.37
29/10/2020,0.39
30/10/2020,0.4
31/10/2020,0.35
01/11/2020,0.33
02/11/2020,0.39
03/11/2020,0.37
04/11/2020,0.35
05/11/2020,0.38
06/11/2020,0.38
07/11/2020,0.31
08/11/2020,0.33
09/11/2020,0.36
10/11/2020,0.34
11/11/2020,0.34
12/11/2020,0.35
13/11/2020,0.34
14/11/2020,0.3
15/11/2020,0.3
16/11/2020,0.36
17/11/2020,0.36
18/11/2020,0.35
19/11/2020,0.36
20/11/2020,0.37
21/11/2020,0.3
22/11/2020,0.3
23/11/2020,0.38
24/11/2020,0.36
25/11/2020,0.34
26/11/2020,0.36
27/11/2020,0.32
28/11/2020,0.31
29/11/2020,0.31
30/11/2020,0.36
01/12/2020,1.06
02/12/2020,1.07
03/12/2020,1.07
04/12/2020,1.07
05/12/2020,1.05
06/12/2020,1.06
07/12/2020,1.06
08/12/2020,1.06
09/12/2020,1.06
10/12/2020,1.06
11/12/2020,1.06
12/12/2020,1.04
13/12/2020,1.05
14/12/2020,1.06
15/12/2020,1.06
16/12/2020,1.06
17/12/2020,1.07
18/12/2020,1.07
19/12/2020,1.05
20/12/2020,1.07
21/12/2020,1.07
22/12/2020,1.07
23/12/2020,1.12
24/12/2020,1.17
25/12/2020,1.22
26/12/2020,1.08
27/12/2020,1.07
28/12/2020,1.15
29/12/2020,1.15
30/12/2020,1.15
31/12/2020,1.18
01/01/2021,1.22
02/01/2021,1.05
03/01/2021,1.06
04/01/2021,1.12
05/01/2021,1.11
06/01/2021,1.12
07/01/2021,1.12
08/01/2021,1.12
09/01/2021,1.1
10/01/2021,1.09
11/01/2021,1.1
12/01/2021,1.1
13/01/2021,1.1
14/01/2021,1.1
15/01/2021,1.1
16/01/2021,1.08
17/01/2021,1.08
18/01/2021,1.09
19/01/2021,1.08
20/01/2021,1.08
21/01/2021,1.09
22/01/2021,1.08
23/01/2021,1.06
24/01/2021,1.06
25/01/2021,1.08
26/01/2021,1.08
27/01/2021,1.08
28/01/2021,1.08
29/01/2021,1.1
30/01/2021,1.07
31/01/2021,1.05
01/02/2021,1.08
02/02/2021,1.08
03/02/2021,1.08
04/02/2021,1.09
05/02/2021,1.08
06/02/2021,1.06
07/02/2021,1.06
08/02/2021,1.08
09/02/2021,1.07
10/02/2021,1.08
11/02/2021,1.08
12/02/2021,1.07
13/02/2021,1.05
14/02/2021,1.04
15/02/2021,1.08
16/02/2021,1.07
17/02/2021,1.07
18/02/2021,1.07
19/02/2021,1.06
20/02/2021,1.05
21/02/2021,1.06
22/02/2021,1.06
23/02/2021,1.05
24/02/2021,1.05
25/02/2021,1.06
26/02/2021,1.04
27/02/2021,1.04
28/02/2021,1.03
01/03/2021,1.07
02/03/2021,1.06
03/03/2021,1.06
04/03/2021,1.07
05/03/2021,1.08
06/03/2021,1.05
07/03/2021,1.03
08/03/2021,1.06
09/03/2021,1.05
10/03/2021,1.07
