date,x
01/03/2020,1
02/03/2020,1
03/03/2020,1
04/03/2020,1
05/03/2020,1
06/03/2020,1
07/03/2020,1
08/03/2020,1
09/03/2020,1
10/03/2020,1
11/03/2020,1
12/03/2020,0.83
13/03/2020,0.67
14/03/2020,0.62
15/03/2020,0.51
16/03/2020,0.55
17/03/2020,0.46
18/03/2020,0.45
19/03/2020,0.42
20/03/2020,0.5
21/03/2020,0.62
22/03/2020,0.46
23/03/2020,0.43
24/03/2020,0.41
25/03/2020,0.42
26/03/2020,0.46
27/03/2020,0.45
28/03/2020,0.51
29/03/2020,0.42
30/03/2020,0.53
31/03/2020,0.47
01/04/2020,0.44
02/04/2020,0.42
03/04/2020,0.47
04/04/2020,0.56
05/04/2020,0.57
06/04/2020,0.54
07/04/2020,0.6
08/04/2020,0.52
09/04/2020,0.44
10/04/2020,0.44
11/04/2020,0.43
12/04/2020,0.47
13/04/2020,0.42
14/04/2020,0.49
15/04/2020,0.47
16/04/2020,0.55
17/04/2020,0.57
18/04/2020,0.75
19/04/2020,0.72
20/04/2020,0.66
21/04/2020,0.67
22/04/2020,0.66
23/04/2020,0.63
24/04/2020,0.58
25/04/2020,0.73
26/04/2020,0.58
27/04/2020,0.68
28/04/2020,0.62
29/04/2020,0.66
30/04/2020,0.68
01/05/2020,0.48
02/05/2020,0.78
03/05/2020,0.65
04/05/2020,0.69
05/05/2020,0.66
06/05/2020,0.66
07/05/2020,0.7
08/05/2020,0.67
09/05/2020,0.75
10/05/2020,0.58
11/05/2020,0.69
12/05/2020,0.67
13/05/2020,0.72
14/05/2020,0.67
15/05/2020,0.7
16/05/2020,0.67
17/05/2020,0.74
18/05/2020,0.74
19/05/2020,0.75
20/05/2020,0.81
21/05/2020,0.56
22/05/2020,0.58
23/05/2020,0.69
24/05/2020,0.57
25/05/2020,0.79
26/05/2020,0.72
27/05/2020,0.76
28/05/2020,0.79
29/05/2020,0.82
30/05/2020,0.97
31/05/2020,0.87
01/06/2020,0.68
02/06/2020,0.81
03/06/2020,0.78
04/06/2020,0.71
05/06/2020,0.73
06/06/2020,0.85
07/06/2020,0.65
08/06/2020,0.82
09/06/2020,0.75
10/06/2020,0.78
11/06/2020,0.83
12/06/2020,0.87
13/06/2020,1
14/06/2020,0.91
15/06/2020,0.91
16/06/2020,0.84
17/06/2020,0.84
18/06/2020,0.86
19/06/2020,0.87
20/06/2020,0.86
21/06/2020,0.85
22/06/2020,0.87
23/06/2020,0.82
24/06/2020,0.85
25/06/2020,0.88
26/06/2020,0.88
27/06/2020,0.96
28/06/2020,0.73
29/06/2020,0.75
30/06/2020,0.77
01/07/2020,0.77
02/07/2020,0.76
03/07/2020,0.67
04/07/2020,0.92
05/07/2020,0.67
06/07/2020,0.69
07/07/2020,0.7
08/07/2020,0.73
09/07/2020,0.78
10/07/2020,0.76
11/07/2020,0.92
12/07/2020,0.76
13/07/2020,0.69
14/07/2020,0.7
15/07/2020,0.75
16/07/2020,0.76
17/07/2020,0.64
18/07/2020,0.78
19/07/2020,0.93
20/07/2020,0.8
21/07/2020,0.72
22/07/2020,0.77
23/07/2020,0.75
24/07/2020,0.77
25/07/2020,0.98
26/07/2020,0.72
27/07/2020,0.7
28/07/2020,0.61
29/07/2020,0.61
30/07/2020,0.64
31/07/2020,0.72
01/08/2020,0.89
02/08/2020,0.78
03/08/2020,0.77
04/08/2020,0.74
05/08/2020,0.66
06/08/2020,0.82
07/08/2020,0.77
08/08/2020,0.94
09/08/2020,0.95
10/08/2020,0.88
11/08/2020,0.82
12/08/2020,0.82
13/08/2020,0.82
14/08/2020,0.75
15/08/2020,0.99
16/08/2020,0.84
17/08/2020,0.89
18/08/2020,0.8
19/08/2020,0.8
20/08/2020,0.77
21/08/2020,0.73
22/08/2020,0.74
23/08/2020,0.71
24/08/2020,0.79
25/08/2020,0.79
26/08/2020,0.77
27/08/2020,0.79
28/08/2020,0.8
29/08/2020,0.91
30/08/2020,0.83
31/08/2020,0.82
01/09/2020,0.81
02/09/2020,0.79
03/09/2020,0.73
04/09/2020,0.76
05/09/2020,0.71
06/09/2020,0.68
07/09/2020,0.75
08/09/2020,0.73
09/09/2020,0.71
10/09/2020,0.79
11/09/2020,0.75
12/09/2020,0.81
13/09/2020,0.71
14/09/2020,0.8
15/09/2020,0.78
16/09/2020,0.77
17/09/2020,0.82
18/09/2020,0.8
19/09/2020,0.85
20/09/2020,0.89
21/09/2020,0.78
22/09/2020,0.74
23/09/2020,0.7
24/09/2020,0.71
25/09/2020,0.76
26/09/2020,0.68
27/09/2020,0.72
28/09/2020,0.6
29/09/2020,0.55
30/09/2020,0.56
01/10/2020,0.67
02/10/2020,0.79
03/10/2020,0.81
04/10/2020,0.71
05/10/2020,0.78
06/10/2020,0.68
07/10/2020,0.67
08/10/2020,0.64
09/10/2020,0.63
10/10/2020,0.77
11/10/2020,0.88
12/10/2020,0.78
13/10/2020,0.76
14/10/2020,0.79
15/10/2020,0.79
16/10/2020,0.79
17/10/2020,0.74
18/10/2020,0.79
19/10/2020,0.75
20/10/2020,0.66
21/10/2020,0.68
22/10/2020,0.75
23/10/2020,0.76
24/10/2020,0.71
25/10/2020,0.73
26/10/2020,0.77
27/10/2020,0.69
28/10/2020,0.66
29/10/2020,0.72
30/10/2020,0.7
31/10/2020,0.7
01/11/2020,0.58
02/11/2020,0.67
03/11/2020,0.64
04/11/2020,0.65
05/11/2020,0.62
06/11/2020,0.64
07/11/2020,0.56
08/11/2020,0.65
09/11/2020,0.64
10/11/2020,0.56
11/11/2020,0.6
12/11/2020,0.62
13/11/2020,0.55
14/11/2020,0.57
15/11/2020,0.48
16/11/2020,0.6
17/11/2020,0.55
18/11/2020,0.54
19/11/2020,0.57
20/11/2020,0.6
21/11/2020,0.51
22/11/2020,0.46
23/11/2020,0.59
24/11/2020,0.55
25/11/2020,0.56
26/11/2020,0.62
27/11/2020,0.62
28/11/2020,0.58
29/11/2020,0.54
30/11/2020,0.57
01/12/2020,1.06
02/12/2020,1.08
03/12/2020,1.08
04/12/2020,1.08
05/12/2020,1.03
06/12/2020,1.04
07/12/2020,1.07
08/12/2020,1.07
09/12/2020,1.06
10/12/2020,1.06
11/12/2020,1.07
12/12/2020,1.03
13/12/2020,1.03
14/12/2020,1.07
15/12/2020,1.06
16/12/2020,1.06
17/12/2020,1.06
18/12/2020,1.08
19/12/2020,1.04
20/12/2020,1.04
21/12/2020,1.07
22/12/2020,1.07
23/12/2020,1.1
24/12/2020,1.16
25/12/2020,1.24
26/12/2020,1.07
27/12/2020,1.06
28/12/2020,1.14
29/12/2020,1.14
30/12/2020,1.14
31/12/2020,1.16
01/01/2021,1.26
02/01/2021,1.05
03/01/2021,1.03
04/01/2021,1.12
05/01/2021,1.12
06/01/2021,1.12
07/01/2021,1.13
08/01/2021,1.14
09/01/2021,1.09
10/01/2021,1.08
11/01/2021,1.12
12/01/2021,1.12
13/01/2021,1.12
14/01/2021,1.12
15/01/2021,1.12
16/01/2021,1.07
17/01/2021,1.06
18/01/2021,1.11
19/01/2021,1.11
20/01/2021,1.11
21/01/2021,1.12
22/01/2021,1.11
23/01/2021,1.06
24/01/2021,1.04
25/01/2021,1.09
26/01/2021,1.09
27/01/2021,1.09
28/01/2021,1.09
29/01/2021,1.09
30/01/2021,1.04
31/01/2021,1.02
01/02/2021,1.08
02/02/2021,1.08
03/02/2021,1.08
04/02/2021,1.09
05/02/2021,1.09
06/02/2021,1.04
07/02/2021,1.02
08/02/2021,1.08
09/02/2021,1.08
10/02/2021,1.09
11/02/2021,1.08
12/02/2021,1.08
13/02/2021,1.03
14/02/2021,1.02
15/02/2021,1.09
16/02/2021,1.09
17/02/2021,1.08
18/02/2021,1.09
19/02/2021,1.08
20/02/2021,1.06
21/02/2021,1.04
22/02/2021,1.07
23/02/2021,1.07
24/02/2021,1.08
25/02/2021,1.07
26/02/2021,1.07
27/02/2021,1.03
28/02/2021,1.01
01/03/2021,1.07
02/03/2021,1.07
03/03/2021,1.06
04/03/2021,1.07
05/03/2021,1.09
06/03/2021,1.03
07/03/2021,1
08/03/2021,1.06
09/03/2021,1.06
10/03/2021,1.09
