date,x
01/03/2020,1
02/03/2020,1
03/03/2020,1
04/03/2020,1
05/03/2020,1
06/03/2020,1
07/03/2020,1
08/03/2020,1
09/03/2020,1
10/03/2020,1
11/03/2020,1
12/03/2020,0.8
13/03/2020,0.61
14/03/2020,0.63
15/03/2020,0.46
16/03/2020,0.51
17/03/2020,0.47
18/03/2020,0.45
19/03/2020,0.44
20/03/2020,0.45
21/03/2020,0.58
22/03/2020,0.43
23/03/2020,0.42
24/03/2020,0.41
25/03/2020,0.42
26/03/2020,0.44
27/03/2020,0.43
28/03/2020,0.5
29/03/2020,0.43
30/03/2020,0.47
31/03/2020,0.48
01/04/2020,0.46
02/04/2020,0.42
03/04/2020,0.47
04/04/2020,0.54
05/04/2020,0.48
06/04/2020,0.54
07/04/2020,0.56
08/04/2020,0.48
09/04/2020,0.42
10/04/2020,0.42
11/04/2020,0.45
12/04/2020,0.48
13/04/2020,0.37
14/04/2020,0.48
15/04/2020,0.53
16/04/2020,0.52
17/04/2020,0.56
18/04/2020,0.7
19/04/2020,0.68
20/04/2020,0.63
21/04/2020,0.66
22/04/2020,0.64
23/04/2020,0.62
24/04/2020,0.58
25/04/2020,0.71
26/04/2020,0.63
27/04/2020,0.59
28/04/2020,0.62
29/04/2020,0.65
30/04/2020,0.66
01/05/2020,0.45
02/05/2020,0.75
03/05/2020,0.66
04/05/2020,0.65
05/05/2020,0.67
06/05/2020,0.68
07/05/2020,0.66
08/05/2020,0.67
09/05/2020,0.78
10/05/2020,0.56
11/05/2020,0.67
12/05/2020,0.66
13/05/2020,0.7
14/05/2020,0.69
15/05/2020,0.68
16/05/2020,0.7
17/05/2020,0.78
18/05/2020,0.7
19/05/2020,0.74
20/05/2020,0.83
21/05/2020,0.56
22/05/2020,0.64
23/05/2020,0.73
24/05/2020,0.71
25/05/2020,0.76
26/05/2020,0.73
27/05/2020,0.74
28/05/2020,0.76
29/05/2020,0.83
30/05/2020,0.96
31/05/2020,0.88
01/06/2020,0.69
02/06/2020,0.81
03/06/2020,0.78
04/06/2020,0.74
05/06/2020,0.73
06/06/2020,0.76
07/06/2020,0.66
08/06/2020,0.76
09/06/2020,0.78
10/06/2020,0.79
11/06/2020,0.82
12/06/2020,0.88
13/06/2020,0.99
14/06/2020,0.92
15/06/2020,0.87
16/06/2020,0.87
17/06/2020,0.87
18/06/2020,0.88
19/06/2020,0.91
20/06/2020,0.97
21/06/2020,0.79
22/06/2020,0.82
23/06/2020,0.88
24/06/2020,0.88
25/06/2020,0.87
26/06/2020,0.9
27/06/2020,1.04
28/06/2020,0.8
29/06/2020,0.8
30/06/2020,0.78
01/07/2020,0.82
02/07/2020,0.79
03/07/2020,0.78
04/07/2020,1
05/07/2020,0.76
06/07/2020,0.77
07/07/2020,0.77
08/07/2020,0.79
09/07/2020,0.79
10/07/2020,0.79
11/07/2020,0.99
12/07/2020,0.92
13/07/2020,0.81
14/07/2020,0.73
15/07/2020,0.8
16/07/2020,0.8
17/07/2020,0.78
18/07/2020,0.92
19/07/2020,0.88
20/07/2020,0.82
21/07/2020,0.78
22/07/2020,0.8
23/07/2020,0.79
24/07/2020,0.8
25/07/2020,1.05
26/07/2020,0.81
27/07/2020,0.78
28/07/2020,0.71
29/07/2020,0.74
30/07/2020,0.78
31/07/2020,0.82
01/08/2020,1.04
02/08/2020,0.86
03/08/2020,0.8
04/08/2020,0.81
05/08/2020,0.72
06/08/2020,0.8
07/08/2020,0.83
08/08/2020,1
09/08/2020,0.96
10/08/2020,0.82
11/08/2020,0.82
12/08/2020,0.83
13/08/2020,0.78
14/08/2020,0.81
15/08/2020,0.96
16/08/2020,0.91
17/08/2020,0.83
18/08/2020,0.82
19/08/2020,0.8
20/08/2020,0.78
21/08/2020,0.75
22/08/2020,0.82
23/08/2020,0.79
24/08/2020,0.77
25/08/2020,0.78
26/08/2020,0.77
27/08/2020,0.77
28/08/2020,0.81
29/08/2020,0.87
30/08/2020,0.83
31/08/2020,0.79
01/09/2020,0.81
02/09/2020,0.79
03/09/2020,0.75
04/09/2020,0.78
05/09/2020,0.83
06/09/2020,0.79
07/09/2020,0.75
08/09/2020,0.76
09/09/2020,0.73
10/09/2020,0.75
11/09/2020,0.77
12/09/2020,0.82
13/09/2020,0.77
14/09/2020,0.78
15/09/2020,0.78
16/09/2020,0.76
17/09/2020,0.77
18/09/2020,0.8
19/09/2020,0.88
20/09/2020,0.8
21/09/2020,0.71
22/09/2020,0.7
23/09/2020,0.66
24/09/2020,0.65
25/09/2020,0.71
26/09/2020,0.65
27/09/2020,0.69
28/09/2020,0.64
29/09/2020,0.6
30/09/2020,0.61
01/10/2020,0.65
02/10/2020,0.72
03/10/2020,0.78
04/10/2020,0.69
05/10/2020,0.75
06/10/2020,0.71
07/10/2020,0.7
08/10/2020,0.68
09/10/2020,0.71
10/10/2020,0.72
11/10/2020,0.78
12/10/2020,0.74
13/10/2020,0.73
14/10/2020,0.72
15/10/2020,0.72
16/10/2020,0.74
17/10/2020,0.74
18/10/2020,0.73
19/10/2020,0.72
20/10/2020,0.68
21/10/2020,0.69
22/10/2020,0.7
23/10/2020,0.73
24/10/2020,0.72
25/10/2020,0.65
26/10/2020,0.71
27/10/2020,0.68
28/10/2020,0.67
29/10/2020,0.67
30/10/2020,0.66
31/10/2020,0.69
01/11/2020,0.59
02/11/2020,0.65
03/11/2020,0.66
04/11/2020,0.62
05/11/2020,0.61
06/11/2020,0.61
07/11/2020,0.58
08/11/2020,0.59
09/11/2020,0.59
10/11/2020,0.59
11/11/2020,0.58
12/11/2020,0.58
13/11/2020,0.58
14/11/2020,0.59
15/11/2020,0.5
16/11/2020,0.58
17/11/2020,0.57
18/11/2020,0.55
19/11/2020,0.54
20/11/2020,0.58
21/11/2020,0.53
22/11/2020,0.5
23/11/2020,0.58
24/11/2020,0.57
25/11/2020,0.55
26/11/2020,0.57
27/11/2020,0.58
28/11/2020,0.55
29/11/2020,0.49
30/11/2020,0.56
01/12/2020,1.08
02/12/2020,1.09
03/12/2020,1.09
04/12/2020,1.09
05/12/2020,1.05
06/12/2020,1.05
07/12/2020,1.08
08/12/2020,1.08
09/12/2020,1.08
10/12/2020,1.08
11/12/2020,1.08
12/12/2020,1.04
13/12/2020,1.05
14/12/2020,1.08
15/12/2020,1.08
16/12/2020,1.08
17/12/2020,1.08
18/12/2020,1.09
19/12/2020,1.05
20/12/2020,1.06
21/12/2020,1.09
22/12/2020,1.09
23/12/2020,1.12
24/12/2020,1.18
25/12/2020,1.24
26/12/2020,1.08
27/12/2020,1.07
28/12/2020,1.15
29/12/2020,1.15
30/12/2020,1.15
31/12/2020,1.19
01/01/2021,1.24
02/01/2021,1.05
03/01/2021,1.06
04/01/2021,1.12
05/01/2021,1.12
06/01/2021,1.13
07/01/2021,1.13
08/01/2021,1.14
09/01/2021,1.09
10/01/2021,1.08
11/01/2021,1.12
12/01/2021,1.12
13/01/2021,1.12
14/01/2021,1.12
15/01/2021,1.12
16/01/2021,1.08
17/01/2021,1.07
18/01/2021,1.11
19/01/2021,1.11
20/01/2021,1.11
21/01/2021,1.12
22/01/2021,1.11
23/01/2021,1.07
24/01/2021,1.06
25/01/2021,1.11
26/01/2021,1.11
27/01/2021,1.12
28/01/2021,1.11
29/01/2021,1.12
30/01/2021,1.07
31/01/2021,1.06
01/02/2021,1.11
02/02/2021,1.11
03/02/2021,1.1
04/02/2021,1.1
05/02/2021,1.1
06/02/2021,1.06
07/02/2021,1.05
08/02/2021,1.1
09/02/2021,1.1
10/02/2021,1.11
11/02/2021,1.11
12/02/2021,1.1
13/02/2021,1.05
14/02/2021,1.04
15/02/2021,1.1
16/02/2021,1.1
17/02/2021,1.1
18/02/2021,1.1
19/02/2021,1.09
20/02/2021,1.06
21/02/2021,1.06
22/02/2021,1.1
23/02/2021,1.09
24/02/2021,1.09
25/02/2021,1.09
26/02/2021,1.09
27/02/2021,1.04
28/02/2021,1.02
01/03/2021,1.09
02/03/2021,1.08
03/03/2021,1.09
04/03/2021,1.09
05/03/2021,1.1
06/03/2021,1.06
07/03/2021,1.04
08/03/2021,1.09
09/03/2021,1.08
10/03/2021,1.11
