date,x
01/03/2020,1
02/03/2020,1
03/03/2020,1
04/03/2020,1
05/03/2020,1
06/03/2020,1
07/03/2020,1
08/03/2020,1
09/03/2020,1
10/03/2020,1
11/03/2020,1
12/03/2020,0.96
13/03/2020,0.71
14/03/2020,0.75
15/03/2020,0.6
16/03/2020,0.65
17/03/2020,0.52
18/03/2020,0.48
19/03/2020,0.54
20/03/2020,0.48
21/03/2020,0.74
22/03/2020,0.45
23/03/2020,0.56
24/03/2020,0.52
25/03/2020,0.53
26/03/2020,0.6
27/03/2020,0.49
28/03/2020,0.47
29/03/2020,0.33
30/03/2020,0.59
31/03/2020,0.58
01/04/2020,0.62
02/04/2020,0.57
03/04/2020,0.59
04/04/2020,0.7
05/04/2020,0.56
06/04/2020,0.78
07/04/2020,0.84
08/04/2020,0.64
09/04/2020,0.45
10/04/2020,0.46
11/04/2020,0.74
12/04/2020,0.41
13/04/2020,0.47
14/04/2020,0.63
15/04/2020,0.57
16/04/2020,0.68
17/04/2020,0.73
18/04/2020,0.98
19/04/2020,0.9
20/04/2020,0.83
21/04/2020,0.94
22/04/2020,0.9
23/04/2020,0.84
24/04/2020,0.77
25/04/2020,0.92
26/04/2020,0.85
27/04/2020,0.87
28/04/2020,0.97
29/04/2020,0.9
30/04/2020,1.07
01/05/2020,0.65
02/05/2020,0.95
03/05/2020,0.87
04/05/2020,0.84
05/05/2020,0.84
06/05/2020,0.85
07/05/2020,0.93
08/05/2020,0.83
09/05/2020,0.85
10/05/2020,0.75
11/05/2020,0.8
12/05/2020,0.88
13/05/2020,0.84
14/05/2020,0.9
15/05/2020,0.83
16/05/2020,0.74
17/05/2020,0.75
18/05/2020,0.97
19/05/2020,1.08
20/05/2020,1.27
21/05/2020,0.98
22/05/2020,1.02
23/05/2020,1.34
24/05/2020,1.33
25/05/2020,1.07
26/05/2020,1.03
27/05/2020,0.97
28/05/2020,1.12
29/05/2020,1.21
30/05/2020,1.58
31/05/2020,1.4
01/06/2020,1.19
02/06/2020,1.18
03/06/2020,1.04
04/06/2020,1.14
05/06/2020,1.12
06/06/2020,1.25
07/06/2020,0.92
08/06/2020,1.06
09/06/2020,1.17
10/06/2020,1.17
11/06/2020,1.24
12/06/2020,1.29
13/06/2020,1.57
14/06/2020,1.41
15/06/2020,1.23
16/06/2020,1.32
17/06/2020,1.25
18/06/2020,1.27
19/06/2020,1.3
20/06/2020,1.66
21/06/2020,1.34
22/06/2020,1.24
23/06/2020,1.3
24/06/2020,1.3
25/06/2020,1.36
26/06/2020,1.34
27/06/2020,1.81
28/06/2020,1.46
29/06/2020,1.29
30/06/2020,1.19
01/07/2020,1.23
02/07/2020,1.2
03/07/2020,1.21
04/07/2020,1.8
05/07/2020,1.4
06/07/2020,1.12
07/07/2020,1.31
08/07/2020,1.18
09/07/2020,1.29
10/07/2020,1.29
11/07/2020,1.51
12/07/2020,1.36
13/07/2020,1.38
14/07/2020,1.6
15/07/2020,1.57
16/07/2020,1.54
17/07/2020,1.32
18/07/2020,1.91
19/07/2020,1.7
20/07/2020,1.38
21/07/2020,1.31
22/07/2020,1.32
23/07/2020,1.57
24/07/2020,1.43
25/07/2020,2.14
26/07/2020,1.7
27/07/2020,1.4
28/07/2020,1.41
29/07/2020,1.31
30/07/2020,1.43
31/07/2020,1.38
01/08/2020,1.9
02/08/2020,1.34
03/08/2020,1.15
04/08/2020,1.23
05/08/2020,1.17
06/08/2020,1.31
07/08/2020,1.3
08/08/2020,1.53
09/08/2020,1.5
10/08/2020,1.29
11/08/2020,1.31
12/08/2020,1.24
13/08/2020,1.17
14/08/2020,1.23
15/08/2020,1.55
16/08/2020,1.34
17/08/2020,1.1
18/08/2020,1.1
19/08/2020,1.1
20/08/2020,1.1
21/08/2020,1.1
22/08/2020,1.1
23/08/2020,1.1
24/08/2020,1.1
25/08/2020,1.1
26/08/2020,1.1
27/08/2020,1.1
28/08/2020,1.1
29/08/2020,1.1
30/08/2020,1.1
31/08/2020,1.1
01/09/2020,1.1
02/09/2020,1.1
03/09/2020,1.1
04/09/2020,1.1
05/09/2020,1.1
06/09/2020,1.1
07/09/2020,1.1
08/09/2020,1.1
09/09/2020,1.1
10/09/2020,1.1
11/09/2020,1.1
12/09/2020,1.16
13/09/2020,1.05
14/09/2020,1.09
15/09/2020,1.09
16/09/2020,1.11
17/09/2020,1.17
18/09/2020,1.14
19/09/2020,1.4
20/09/2020,1.07
21/09/2020,1.04
22/09/2020,1.04
23/09/2020,1.01
24/09/2020,1.02
25/09/2020,1.06
26/09/2020,1.19
27/09/2020,1.2
28/09/2020,1.06
29/09/2020,1.03
30/09/2020,1.06
01/10/2020,1.17
02/10/2020,1.21
03/10/2020,1.43
04/10/2020,1.24
05/10/2020,1.01
06/10/2020,1.09
07/10/2020,0.97
08/10/2020,0.98
09/10/2020,0.94
10/10/2020,1.19
11/10/2020,1.01
12/10/2020,1.05
13/10/2020,1.07
14/10/2020,1.06
15/10/2020,1.08
16/10/2020,1.11
17/10/2020,1.02
18/10/2020,0.89
19/10/2020,1.03
20/10/2020,1.02
21/10/2020,1
22/10/2020,1.09
23/10/2020,1.06
24/10/2020,1.04
25/10/2020,1
26/10/2020,1.05
27/10/2020,1.08
28/10/2020,0.99
29/10/2020,1.02
30/10/2020,0.97
31/10/2020,1.03
01/11/2020,1.01
02/11/2020,1.04
03/11/2020,1.03
04/11/2020,1.05
05/11/2020,1.05
06/11/2020,1.05
07/11/2020,1.04
08/11/2020,1.04
09/11/2020,1.04
10/11/2020,1.04
11/11/2020,1.04
12/11/2020,1.04
13/11/2020,1.04
14/11/2020,1.02
15/11/2020,1.02
16/11/2020,1.04
17/11/2020,1.05
18/11/2020,1.06
19/11/2020,1.07
20/11/2020,1.06
21/11/2020,1.05
22/11/2020,1.07
23/11/2020,1.05
24/11/2020,1.05
25/11/2020,1.05
26/11/2020,1.04
27/11/2020,1.04
28/11/2020,1.02
29/11/2020,1.04
30/11/2020,1.05
01/12/2020,1.04
02/12/2020,1.05
03/12/2020,1.04
04/12/2020,1.04
05/12/2020,1.02
06/12/2020,1.04
07/12/2020,1.04
08/12/2020,1.04
09/12/2020,1.04
10/12/2020,1.04
11/12/2020,1.04
12/12/2020,1.02
13/12/2020,1.03
14/12/2020,1.04
15/12/2020,1.03
16/12/2020,1.04
17/12/2020,1.03
18/12/2020,1.05
19/12/2020,1.02
20/12/2020,1.04
21/12/2020,1.07
22/12/2020,1.07
23/12/2020,1.12
24/12/2020,1.19
25/12/2020,1.24
26/12/2020,1.06
27/12/2020,1.04
28/12/2020,1.14
29/12/2020,1.14
30/12/2020,1.15
31/12/2020,1.18
01/01/2021,1.24
02/01/2021,1.05
03/01/2021,1.05
04/01/2021,1.1
05/01/2021,1.1
06/01/2021,1.11
07/01/2021,1.1
08/01/2021,1.11
09/01/2021,1.08
10/01/2021,1.09
11/01/2021,1.1
12/01/2021,1.1
13/01/2021,1.09
14/01/2021,1.09
15/01/2021,1.1
16/01/2021,1.06
17/01/2021,1.06
18/01/2021,1.08
19/01/2021,1.07
20/01/2021,1.08
21/01/2021,1.08
22/01/2021,1.07
23/01/2021,1.05
24/01/2021,1.04
25/01/2021,1.07
26/01/2021,1.07
27/01/2021,1.07
28/01/2021,1.07
29/01/2021,1.07
30/01/2021,1.05
31/01/2021,1.05
01/02/2021,1.07
02/02/2021,1.06
03/02/2021,1.06
04/02/2021,1.06
05/02/2021,1.06
06/02/2021,1.04
07/02/2021,1.04
08/02/2021,1.06
09/02/2021,1.06
10/02/2021,1.06
11/02/2021,1.06
12/02/2021,1.06
13/02/2021,1.03
14/02/2021,1.02
15/02/2021,1.06
16/02/2021,1.05
17/02/2021,1.06
18/02/2021,1.06
19/02/2021,1.05
20/02/2021,1.03
21/02/2021,1.03
22/02/2021,1.07
23/02/2021,1.05
24/02/2021,1.06
25/02/2021,1.07
26/02/2021,1.08
27/02/2021,1.04
28/02/2021,1.01
01/03/2021,1.06
02/03/2021,1.05
03/03/2021,1.06
04/03/2021,1.07
05/03/2021,1.07
06/03/2021,1.06
07/03/2021,1.05
08/03/2021,1.06
09/03/2021,1.04
10/03/2021,1.05
