date,x
01/03/2020,1
02/03/2020,1
03/03/2020,1
04/03/2020,1
05/03/2020,1
06/03/2020,1
07/03/2020,1
08/03/2020,1
09/03/2020,1
10/03/2020,1
11/03/2020,1
12/03/2020,0.91
13/03/2020,0.72
14/03/2020,0.77
15/03/2020,0.4
16/03/2020,0.58
17/03/2020,0.6
18/03/2020,0.54
19/03/2020,0.59
20/03/2020,0.52
21/03/2020,0.58
22/03/2020,0.45
23/03/2020,0.49
24/03/2020,0.51
25/03/2020,0.53
26/03/2020,0.57
27/03/2020,0.53
28/03/2020,0.57
29/03/2020,0.48
30/03/2020,0.59
31/03/2020,0.67
01/04/2020,0.61
02/04/2020,0.53
03/04/2020,0.57
04/04/2020,0.59
05/04/2020,0.49
06/04/2020,0.7
07/04/2020,0.74
08/04/2020,0.66
09/04/2020,0.62
10/04/2020,0.56
11/04/2020,0.48
12/04/2020,0.58
13/04/2020,0.51
14/04/2020,0.61
15/04/2020,0.7
16/04/2020,0.67
17/04/2020,0.69
18/04/2020,0.78
19/04/2020,0.71
20/04/2020,0.77
21/04/2020,0.83
22/04/2020,0.81
23/04/2020,0.8
24/04/2020,0.71
25/04/2020,0.83
26/04/2020,0.74
27/04/2020,0.7
28/04/2020,0.75
29/04/2020,0.83
30/04/2020,0.79
01/05/2020,0.61
02/05/2020,0.88
03/05/2020,0.79
04/05/2020,0.8
05/05/2020,0.86
06/05/2020,0.87
07/05/2020,0.83
08/05/2020,0.84
09/05/2020,0.81
10/05/2020,0.57
11/05/2020,0.83
12/05/2020,0.82
13/05/2020,0.84
14/05/2020,0.85
15/05/2020,0.86
16/05/2020,0.83
17/05/2020,0.8
18/05/2020,0.89
19/05/2020,0.94
20/05/2020,1.04
21/05/2020,0.78
22/05/2020,0.75
23/05/2020,0.84
24/05/2020,0.83
25/05/2020,0.92
26/05/2020,0.9
27/05/2020,0.9
28/05/2020,0.94
29/05/2020,1.04
30/05/2020,1.2
31/05/2020,1
01/06/2020,1.01
02/06/2020,1.03
03/06/2020,0.97
04/06/2020,0.92
05/06/2020,0.77
06/06/2020,0.84
07/06/2020,0.72
08/06/2020,0.9
09/06/2020,0.98
10/06/2020,0.96
11/06/2020,1
12/06/2020,1.02
13/06/2020,1.14
14/06/2020,1.07
15/06/2020,1.08
16/06/2020,1.08
17/06/2020,1.09
18/06/2020,1.09
19/06/2020,1.14
20/06/2020,1.02
21/06/2020,0.8
22/06/2020,1.05
23/06/2020,1.13
24/06/2020,1.09
25/06/2020,1.09
26/06/2020,1.17
27/06/2020,1.32
28/06/2020,0.97
29/06/2020,1.02
30/06/2020,0.97
01/07/2020,1.08
02/07/2020,1.09
03/07/2020,1.08
04/07/2020,1.29
05/07/2020,0.95
06/07/2020,1.17
07/07/2020,1.14
08/07/2020,1.16
09/07/2020,1.19
10/07/2020,1.14
11/07/2020,1.45
12/07/2020,1.33
13/07/2020,1.26
14/07/2020,1.04
15/07/2020,1.14
16/07/2020,1.17
17/07/2020,1.17
18/07/2020,1.21
19/07/2020,1.06
20/07/2020,1.22
21/07/2020,1.15
22/07/2020,1.19
23/07/2020,1.16
24/07/2020,1.11
25/07/2020,1.37
26/07/2020,0.88
27/07/2020,1
28/07/2020,0.93
29/07/2020,1
30/07/2020,1.1
31/07/2020,1.11
01/08/2020,1.42
02/08/2020,1.03
03/08/2020,1.07
04/08/2020,1.05
05/08/2020,0.91
06/08/2020,1
07/08/2020,1.09
08/08/2020,1.25
09/08/2020,1.1
10/08/2020,0.99
11/08/2020,1.01
12/08/2020,1
13/08/2020,0.92
14/08/2020,1.03
15/08/2020,1.14
16/08/2020,1.06
17/08/2020,1
18/08/2020,1
19/08/2020,0.94
20/08/2020,0.9
21/08/2020,0.82
22/08/2020,1
23/08/2020,1
24/08/2020,0.89
25/08/2020,1
26/08/2020,0.85
27/08/2020,0.88
28/08/2020,0.91
29/08/2020,1
30/08/2020,1
31/08/2020,0.89
01/09/2020,1
02/09/2020,0.91
03/09/2020,0.85
04/09/2020,0.89
05/09/2020,1
06/09/2020,1
07/09/2020,0.87
08/09/2020,1
09/09/2020,0.84
10/09/2020,0.89
11/09/2020,0.89
12/09/2020,0.91
13/09/2020,0.76
14/09/2020,0.89
15/09/2020,0.93
16/09/2020,0.88
17/09/2020,0.89
18/09/2020,0.95
19/09/2020,0.97
20/09/2020,0.8
21/09/2020,0.86
22/09/2020,0.87
23/09/2020,0.75
24/09/2020,0.74
25/09/2020,0.78
26/09/2020,0.74
27/09/2020,0.64
28/09/2020,0.83
29/09/2020,0.84
30/09/2020,0.83
01/10/2020,0.84
02/10/2020,0.88
03/10/2020,0.79
04/10/2020,0.6
05/10/2020,0.82
06/10/2020,0.73
07/10/2020,0.74
08/10/2020,0.72
09/10/2020,0.75
10/10/2020,0.71
11/10/2020,0.66
12/10/2020,0.82
13/10/2020,0.84
14/10/2020,0.78
15/10/2020,0.78
16/10/2020,0.83
17/10/2020,0.75
18/10/2020,0.66
19/10/2020,0.81
20/10/2020,0.74
21/10/2020,0.74
22/10/2020,0.77
23/10/2020,0.82
24/10/2020,0.74
25/10/2020,0.55
26/10/2020,0.75
27/10/2020,0.79
28/10/2020,0.76
29/10/2020,0.77
30/10/2020,0.71
31/10/2020,0.67
01/11/2020,0.49
02/11/2020,0.71
03/11/2020,0.79
04/11/2020,0.71
05/11/2020,0.71
06/11/2020,0.64
07/11/2020,0.61
08/11/2020,0.5
09/11/2020,0.6
10/11/2020,0.66
11/11/2020,0.63
12/11/2020,0.62
13/11/2020,0.61
14/11/2020,0.57
15/11/2020,0.4
16/11/2020,0.62
17/11/2020,0.65
18/11/2020,0.65
19/11/2020,0.65
20/11/2020,0.66
21/11/2020,0.56
22/11/2020,0.45
23/11/2020,0.65
24/11/2020,0.68
25/11/2020,0.65
26/11/2020,0.68
27/11/2020,0.66
28/11/2020,0.55
29/11/2020,0.4
30/11/2020,0.63
01/12/2020,1.06
02/12/2020,1.08
03/12/2020,1.08
04/12/2020,1.08
05/12/2020,1.06
06/12/2020,1.06
07/12/2020,1.08
08/12/2020,1.07
09/12/2020,1.07
10/12/2020,1.07
11/12/2020,1.07
12/12/2020,1.05
13/12/2020,1.06
14/12/2020,1.08
15/12/2020,1.07
16/12/2020,1.07
17/12/2020,1.08
18/12/2020,1.08
19/12/2020,1.06
20/12/2020,1.07
21/12/2020,1.09
22/12/2020,1.09
23/12/2020,1.12
24/12/2020,1.17
25/12/2020,1.22
26/12/2020,1.08
27/12/2020,1.09
28/12/2020,1.17
29/12/2020,1.15
30/12/2020,1.16
31/12/2020,1.18
01/01/2021,1.22
02/01/2021,1.06
03/01/2021,1.06
04/01/2021,1.11
05/01/2021,1.11
06/01/2021,1.12
07/01/2021,1.13
08/01/2021,1.12
09/01/2021,1.09
10/01/2021,1.08
11/01/2021,1.12
12/01/2021,1.11
13/01/2021,1.12
14/01/2021,1.11
15/01/2021,1.11
16/01/2021,1.08
17/01/2021,1.08
18/01/2021,1.11
19/01/2021,1.1
20/01/2021,1.1
21/01/2021,1.11
22/01/2021,1.1
23/01/2021,1.06
24/01/2021,1.07
25/01/2021,1.1
26/01/2021,1.09
27/01/2021,1.1
28/01/2021,1.1
29/01/2021,1.1
30/01/2021,1.07
31/01/2021,1.05
01/02/2021,1.09
02/02/2021,1.09
03/02/2021,1.09
04/02/2021,1.09
05/02/2021,1.09
06/02/2021,1.07
07/02/2021,1.06
08/02/2021,1.09
09/02/2021,1.09
10/02/2021,1.09
11/02/2021,1.09
12/02/2021,1.09
13/02/2021,1.06
14/02/2021,1.05
15/02/2021,1.09
16/02/2021,1.08
17/02/2021,1.1
18/02/2021,1.1
19/02/2021,1.08
20/02/2021,1.07
21/02/2021,1.07
22/02/2021,1.1
23/02/2021,1.08
24/02/2021,1.09
25/02/2021,1.09
26/02/2021,1.08
27/02/2021,1.04
28/02/2021,1.01
01/03/2021,1.07
02/03/2021,1.06
03/03/2021,1.08
04/03/2021,1.08
05/03/2021,1.1
06/03/2021,1.08
07/03/2021,1.06
08/03/2021,1.1
09/03/2021,1.09
10/03/2021,1.11
11/03/2021,1.15
12/03/2021,1.1
13/03/2021,1.07
